objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
421,416,book,C2," Jerger, Holly",Betye Saar: Keepin' It Clean,2017,Los Angeles: Craft & Folk Art Museum,,,,Exhibition catalogue Artist monograph Women artists,ISBN-10: 1532386281,ISBN-13: 9781532386282,,,https://www.craftcontemporary. org/exhibitions/betye-saar/,,,image/jpeg,,,
422,417,book,C2," Unterdörfer, Michaela, ed.",Rashid Johnson: Blocks,2016," Berlin: Hauser & Wirth, in collaboration
with Distanz",,,," Exhibition catalogue
Artist monograph Public art",ISBN-10: 3954761688,ISBN-13: 9783954761685,,," https://www.thehighline.
org/art/projects/rashidjohnson/",,,image/jpeg,,,
423,418,book,C2," Cornish, Dudley Taylor","The Sable Arm: Black Troops in the Union Army, 1861-1865",1987,Lawrence: University Press of Kansas,,,,African American History US/American Civil War,ISBN-10: 070060345X,ISBN-13: 9780700603459,,,,,,image/jpeg,,,
424,419,book,C2," Berger, John",Ways of Seeing,1977," London: British Broadcasting Corp.; London; New York: Penguin Books,",,,,"Visual Perception Visual Studies
Originally published in 1972 and
based on the BBC television series",ISBN-10: 0140135154,ISBN-13: 9780140135152,,,https://www.ways-of-seeing.com/ https://archive. org/details/WaysofSeeing,,,image/jpeg,,,
425,420,book,C2," Blesh, Rudi","Modern Art USA: Men, Rebellion, Conquest,
1900-1956",1956,New York: Alfred A. Knopf,,,," Modern Art
American Art",,,,,,,,image/jpeg,,,
426,421,book,C2," Raiford, Leigh",Imprisoned in a Luminous Glare: Photography and the African American Freedom Struggle,2011,Chapel Hill: University of North Carolina Press,,,," African American Studies African American History Civil Rights Movement
Photography",ISBN-10: 1469609789,ISBN-13: 9781469609782,,,,,,image/jpeg,,,
427,422,book,C2," Anderson, Carol",White Rage: The Unspoken Truth of Our Racial Divide,2017,New York: Bloomsbury,,,," United States History Racism
Civil Rights Movement",ISBN-10: 1632864134,ISBN-13: 9781632864130,,,,,,image/jpeg,,,
428,423,book,C2," Bonanos, Christopher",Instant: The Story of Polaroid,2012," New York: Princeton Architectural
Press",,,,Photography,ISBN-10: 1616890851,ISBN-13: 9781616890858,,,,,,image/jpeg,,,
429,424,book,C2," Davis, Lenwood G. and Janet L. Sims","Black Artists in the United States: An Annotated Bibliography of Books, Articles, and Dissertations on Black Artists, 1779-1979",1980,Westport: Greenwood Press,,,," African American Art History Bibliography
Reference Book",ISBN-10: 0313220824,ISBN-13: 9780313220821,,,,,,image/jpeg,,,
430,425,book,C2," Jones, Jacqueline"," The Dispossessed: America's Underclasses
from the Civil War to the Present",1992,New York: Basic Books,,,," United States
History Class Economics",ISBN-10: 0465001270,ISBN-13: 9780465001279,,,,,,image/jpeg,,,
431,426,book,C2," Ford, Clyde W.",Think Black: A Memoir,2019,New York: Amistad,,,," Biography Memoir
Technology",ISBN-10: 0062890565,ISBN-13: 9780062890566,,,,,,image/jpeg,,,
432,427,book,C2," Waters, Rob","Thinking Black: Britain, 1964-1985",2019,Oakland: University of California Press,,,,Black Britons History Politics Britain/UK,ISBN-10: 0520293851,ISBN-13: 9780520293854,,,,,,image/jpeg,,,
433,428,book,C2," Wilkerson, Isabel",Caste: The Origins of Our Discontents,2020,New York: Random House,,,," History
United States
Signed by the author",ISBN-10: 0593230256,ISBN-13: 9780593230251,,,,,,image/jpeg,,,
434,429,book,C2," Moro, Humberto",Kenturah Davis: Everything That Cannot Be Known,2020,Savannah: SCAD University Press,,,,Exhibition catalogue Artist monograph Women artists,ISBN-10: 0578725118,ISBN-13: 9780578725116,,,"https://www.scadmoa. org/exhibitions/2020/everything-that- cannot-be-known#:~:text=Based% 20across%20Los%20Angeles%2C% 20California,broader%20sense%2C% 20a%20world%20vision.",,,image/jpeg,,,
435,430,book,C3," Kidney, Walter C.",Pittsburgh Then and Now,2004,San Diego: Thunder Bay Press,,,,Pittsburgh Pennsylvania History Photography,ISBN-10: 1592231411,ISBN-13: 9781592231416,,,,,,image/jpeg,,,
436,431,book,C3," Jordan, June, ed.",Soulscript: Afro-American Poetry,1970," Garden City Doubleday & Company,
Inc.",,,," Poetry
Anthology",ISBN-10: 0999173391,ISBN-13: 9780999173398,,,,,,image/jpeg,,,
437,432,book,C3," Kearney, Douglas",The Black Automaton,2009,Albany: Fence Books,,,," Poetry
Signed by the author",ISBN-10: 193420028X,ISBN-13: 9781934200285,,,,,,image/jpeg,,,
438,433,book,C3," doyle, r. erica",proxy,2013,New York: Belladonna Press,,,," Poetry
Signed by the author",ISBN-10: 0982338791,ISBN-13: 9780982338797,,,,,,image/jpeg,,,
439,434,book,C3," Hoptman, Laura","David Hammons: Body Prints, 1968-1979",2021,New York: The Drawing Center,,,," Exhibition catalogue Artist monograph Drawing
Printmaking",ISBN-10: 0942324412,ISBN-13: 9780942324419,,,https://drawingcenter. org/exhibitions/david-hammons,,,image/jpeg,,,
440,435,book,C2," Reinhart, Jake",Where the Land Gives Way,2017,Los Angeles: Deadbeat Club,,,," Artist book
Photograph Pittsburgh Pennsylvania
Signed by the author",,,,,,,,image/jpeg,,,
441,436,book,C2," Marta, Karen, ed.",Kara Walker: Figa,2018,Athens: DESTE Foundation for Contemporary Art,,,," Exhbition catalogue Artist monograph
Women artists",ISBN-10: 618503932X,ISBN-13: 9786185039325,,,https://deste.gr/hydra/kara-walker/,,,image/jpeg,,,
442,437,book,C3," Walker, Jerald",How to Make a Slave and Other Essays,2020,C olumbus:Mad Creek Books,,,,Essays,ISBN-10: 081425599X,ISBN-13: 9780814255995,,,,,,image/jpeg,,,
443,438,book,C3," Richter, Hans; translated bt David
Britt",Dada: Art and Anti-Art,1997,London; New York: Thames & Hudson,,,," Modern Art
Art History",ISBN-10: 0500200394,ISBN-13: 9780500200391,,,,,,image/jpeg,,,
444,439,book,C3," Wilson, Ronaldo V.",Poems of the Black Object,2009,New York: Futurepoem Books,,,," Poetry
Signed by the author",ISBN-10: 0982279809,ISBN-13: 9780982279809,,,,,,image/jpeg,,,
445,440,book,C3," Baca, Jimmy Santiago"," Martín and Meditations on the South Valley:
Poems",1987,New York: New Directions Books,,,,Poetry,ISBN-10: 0811210324,ISBN-13: 9780811210324,,,,,,image/jpeg,,,
446,441,book,C3," Hughes, Langston",The Ways of White Folks: Stories,1990,New York: Vintage,,,,"African American Literature Fiction
Short Stories
Originally published in 1934 by Alfred A. Knopf",ISBN-10: 0679728171,ISBN-13: 9780679728177,,,,See #564 The Ways of White Folks: Stories (1963),,image/jpeg,,,
447,442,book,C3," Moya, Horacio Castellanos; translated by Katherine Silver",Senselessness,2008,New York: New Directions Books,,,,Fiction Novel,ISBN-10: 0811217078,ISBN-13: 9780811217071,,,,,,image/jpeg,,,
448,443,book,C3," Grieder, Terence",Artist and Audience,1996,2nd ed. Madison: Brown & Benchmark,,,," Art History
Textbook",ISBN-10: 0697286924,ISBN-13: 9780697286925,,,,,,image/jpeg,,,
449,444,book,C3," Cheng, Irene, Charles L. Davis II, and Mabel O. Wilson, eds.",Race and Modern Architecture: A Critical History from the Enlightenment to the Present,2020,Pittsburgh: University of Pittsburgh Press,,,," Architectural History
Architecture",ISBN-10: 082296659X,ISBN-13: 9780822966593,,,https://www.youtube.com/watch?v=BbSoYhn3wT8 https://www.sah.org/conferences-and- programs/sah-connects/2020/race-and-modern-architecture,,,image/jpeg,,,
450,445,book,D1," Hogrefe, Jeffrey, Scott Ruff, Carrie Eastman, and Ashley Simone, eds.",In Search of African American Space: Redressing Racism,2020,Zürich: Lars Müller Publishers,,,," Architectural History Architecture
Art History
African American History Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",ISBN-10: 3037786337,ISBN-13: 9783037786338,,,https://www.almalewis. org/exhibition/abdul-aziz-reclaiming- echoess/,,Alma Lewis website,image/jpeg,,,
451,446,book,C3," DeWitt Lloyd and Corey Piper, eds."," Thomas Jefferson, Architect: Palladian Models, Democratic Principles, and the Conflict of Ideals",2019,Norfolk: Chrysler Museum of Art; New Haven: Yale University Press,,,,Architectural History Architecture Exhibition catalogue,ISBN-10: 030024620X,ISBN-13: 9780300246209,,,https://chrysler.org/exhibition/thomas- jefferson-architect-palladian-models- democratic-principles-and-the-conflict- of-ideals/,,,image/jpeg,,,
452,447,book,C3," Bey, Dawoud",Street Portraits: Dawoud Bey,2021,London: MACK,,,," Photography
Artist book",ISBN-10: 1913620107,ISBN-13: 9781913620103,,,,,,image/jpeg,,,
453,448,book,C3," Moutoussamy-Ashe, Jeanne",Viewfinders: Black Women Photographers,1986," New York:  Dodd, Mead & Company",,,,Photography Women artists Signed by the artist,ISBN-10: 039608611X,ISBN-13: 9780396086116,,,,,,image/jpeg,,,
454,449,book,C3," Wilson, Mabel O."," Begin with the Past: Building the National
Museum of African American History and Culture",2006," Washington, DC: Smithsonian Books",,,," Architecture
African American History Museums",ISBN-10: 1588345696,ISBN-13: 9781588345691,,," https://nmaahc.si.edu/
https://nmaahc.si.edu/about/building",,,image/jpeg,,,
455,450,book,C3," Droste, Magdalena","Bauhaus, 1919-1933",1998,Berlin: Bauhaus-Archiv Museum für Gestaltung; Cologne: Taschen,,,," Art History Modern art
Inscribed to Kilolo Luckett by Dr.
Augustus Brown",ISBN-10: 3822876275,ISBN-13: 9783822876275,,,https://www.bauhaus.de/en/,,,image/jpeg,,,
456,451,book,C3," Chadwick, Whitney",Women Artists and the Surrealist Movement,2021,Revised ed. London: Thames & Hudson,,,,"Art History Modern art Women artists
First published by Thames & Hudson in 1985",ISBN-10: 0500296162,ISBN-13: 9780500296165,,,,,,image/jpeg,,,
457,452,book,C3," Marx, Karl and Frederick Engels",Manifesto of the Communist Party,1972,4th ed. Beijing: Foreign Language Press,,,,"Politics
Communism Theory
First published by Communist League in 1848",,,,,,,,image/jpeg,,,
458,453,book,C3," Aquin, Stéphane and Evelyn C. Hankins",Mark Bradford: Pickett's Charge,2018," New Haven: Yale University Press; Washington, DC: Hirshhorn Museum and Sculpture Garden, Smithsonian
Institution",,,,Artist monograph Exhibition catalogue,ISBN-10: 030023077X,ISBN-13: 9780300230772,,,https://hirshhorn.si. edu/exhibitions/mark-bradford-picketts- charge/,,,image/jpeg,,,
459,454,book,C3," Oliver, Valerie Cassel",Jennie C. Jones: Compilation,2015," Houston: Contemporary Arts Museum, Houston: New York: Gregory R. Miller
& Co.",,,," Artist monograph Exhibition catalogue
Women artists",ISBN-10: 1941366082,ISBN-13: 9781941366080,,,https://camh.org/event/jennie-c-jones- compilation/,,,image/jpeg,,,
460,455,book,C3," Johnson, Merritt"," Nicholas Galanin: Let Them Enter Dancing and Showing Their Faces (Yéil Ya-Tseen: Neil has
Yax̲ daxoon)",2018,Seattle: Minor Matters,,,," Artist monograph Exhibition catalogue
Indigenous art",ISBN-10: 1732124108,ISBN-13: 9781732124103,,,,,,image/jpeg,,,
461,456,book,C3,Patrick McGilligan," Oscar Micheaux: The Great and Only: The Life
of America's First Black Filmmaker",2008,New York: Harper Perennial,,,," Biography
Film/Cinema
African American History",ISBN-10: 0060731400,ISBN-13: 9780060731403,,,https://blackfilmarchive.com/,,,image/jpeg,,,
462,457,book,C3," Laymon, Kiese",How to Slowly Kill Yourself and Others in America,2013,Chicago: Agate Bolden,,,,Essays,ISBN-10: 1932841776,ISBN-13: 9781932841770,,,https://www.kieselaymon.com/how-to- slowly-kill-yourself-and-others-in-america,,,image/jpeg,,,
463,458,book,C3," Grabski, Joanna and Carol McGee, eds."," African Art, Interviews, Narratives: Bodies of Knowledge at Work",2013,Bloomington: Indiana University Press,,,," Art History African art
Interviews",ISBN-10: 0253006910,ISBN-13: 9780253006912,,,,,,image/jpeg,,,
464,459,book,C3," Als, Hilton"," Alice Neel, Uptown",2017,New York: David Zwirner Books; London: Victoria Miro,,,,Artist monograph Exhibition catalogue Women artists Painting,ISBN-10: 1941701604,ISBN-13: 9781941701607,,,https://www.davidzwirner. com/exhibitions/2017/alice-neel- uptown-curated-hilton-alshttps://www. victoria-miro.com/exhibitions/506/,,,image/jpeg,,,
465,460,book,C3," Morrison, Toni"," The Source of Self-Regard: Selected Essays,
Speeches, and Meditations",2019,New York: Alfred A. Knopf,,,," Essays
Women artists",ISBN-10: 0525521038,ISBN-13: 9780525521037,,,,,,image/jpeg,,,
466,461,book,C3," Mercer, Kobena",Travel & See: Black Diaspora Art Practices since the 1980s,2016,Durham: Duke University Press,,,," Essays
Art History African Diaspora",ISBN-10: 0822360942,ISBN-13: 9780822360940,,,,,,image/jpeg,,,
467,462,book,C3," Givhan, Robin",The Battle of Versailles: The Night American Fashion Stumbled into the Spotlight and Made History,2015,New York: Flatiron Books,,,," Fashion
African American History Black models",ISBN-10: 1250052904,ISBN-13: 9781250052902,,,https://www.youtube.com/watch? v=xAsJAXvwGsk,,,image/jpeg,,,
468,463,book,C3," Miller, Rosemary E. Reed","The Threads Of Time, The Fabric Of History:
Profiles of African American Dressmakers and Designers from 1850 to the Present",2002," T & S Press: Washington, D.C.",,,," Fashion
African American History Women artists",ISBN-10: 0970971303,ISBN-13: 9780970971302,,,,,,image/jpeg,,,
469,464,book,C3," Bordwell, David and Kristin Thompson",Film Art: An Introduction,1997,5th ed. New York: McGraw-Hill Companies,,,," Film/Cinema Art History
Textbook",ISBN-10: 0070066345,ISBN-13: 9780070066342,,,,,,image/jpeg,,,
470,465,book,C3," cameron, loren",Body Alchemy: Transsexual Portraits,1996,Hoboken: Cleis Press,,,," Photography Gender Studies
Transgender",ISBN-10: 1573440620,ISBN-13: 9781573440622,,,,,,image/jpeg,,,
471,466,book,C3," Coppard, Abbie, Gabi Scardi and Lucy Orta, eds.",GSK Contemporary: Aware: Art Fashion Identity,2010,Bologna: Damiani,,,," Fashion
Exhibition catalogue Art History",ISBN-10: 8862081626,ISBN-13: 9788862081627,,,,,,image/jpeg,,,
472,467,book,D1," Rosenfeld, Michael and halley k.
harrisburg","Out of the Fifties - Into the Sixties : 6
Figurative Expressionists",2001,New York: Michael Rosenfeld Gallery,,,," Exhibition catalogue
African American art Painting",ISBN-10: 1930416091,ISBN-13: 9781930416093,,,,,,image/jpeg,,,
473,468,book,C3," Levey, Michael","Painting and Sculpture in France, 1700-1789",1993,New Haven: Yale University Press,,,," Art History French art Painting
Sculpture",ISBN-10: 0300064942,ISBN-13: 9780300064940,,,,,,image/jpeg,,,
474,469,book,C3," Lynton, Norbert",The Story of Modern Art,1989,"2nd ed. Englewoods Cliffs: Prentice- Hall, Inc.",,,," Art History Modern art
Textbook",ISBN-10: 0138498601,ISBN-13: 9780138498603,,,,,,image/jpeg,,,
475,470,book,D1," Warner, Langdon",The Enduring Art of Japan,1988,New York: Grove Press,,,,Art History Japanese art Asian art,ISBN-10: 0802131328,ISBN-13: 9780802131324,,,,,,image/jpeg,,,
476,471,book,D1," Altman, Hannah",Kavana,2020," New York: Kris Graves Projects, LLC",,,," Photography
Artist book Women artists",,,,,,,,image/jpeg,,,
477,472,book,C3," Manchanda, Catharina, ed."," Figuring History: Robert Colescott, Kerry James Marshall, Mickalene Thomas",2018,Seattle: Seattle Art Museum; New Haven: Yale University Press,,,," Art History
African American art Exhibition catalogue",ISBN-10: 0300233892,ISBN-13: 9780300233896,,,"https://www.seattleartmuseum. org/Exhibitions/Details?EventId=56117 https://figuringhistory.site.
seattleartmuseum.org/",,,image/jpeg,,,
478,473,book,D1," Pilgrim, David",Understanding Jim Crow: Using Racist Memorabilia to Teach Tolerance and Promote Social Justice,2015,Oakland: PM Press,,,," History Politics
African American history Material culture
Visual culture",ISBN-10: 1629631140,ISBN-13: 9781629631141,,,https://www.ferris. edu/HTMLS/news/jimcrow/index.htm,,,image/jpeg,,,
479,474,book,D1," Seck, Ibrahima","Bouki Fait Gombo: A History of the Slave
Community of Habitation Haydel (Whitney Plantation) Louisiana, 1750-1860",2014," New Orleans: University of New
Orleans",,,," African American history
Slavery
African Diaspora Signed by the author",ISBN-10: 1608010953,ISBN-13: 9781608010950,,,,,,image/jpeg,,,
480,475,book,D1," Chadwick, Whitney"," Women, Art, and Society",2002,3rd ed. London: Thames & Hudson,,,," Art History
Women artists",ISBN-10: 0500203547,ISBN-13: 9780500203545,,,,,,image/jpeg,,,
481,476,book,D1," Obrist, Hans Ulrich; edited by Karen Marta",Luchita Hurtado,2020,Zurich: Hauser & Wirth Publishers,,,,Artist monograph Women artists Interviews,ISBN-10: 3906915603,ISBN-13: 9783906915609,,,https://www.hauserwirth. com/artists/23262-luchita-hurtado/ https://shop.hauserwirth. com/collections/books/products/luchita- hurtado,,,image/jpeg,,,
482,477,book,D1," Hurston, Zora Neale; edited by
Deborah G. Plant"," Barracoon: The Story of the Last ""Black Cargo""",2018,New York: Amistad,,,," Biography
African American History Slavery
Women artists",ISBN-10: 0062748203,ISBN-13: 9780062748201,,,,,,image/jpeg,,,
483,478,book,D1," Taylor, Paul C."," Black is Beautiful: A Philosophy of Black
Aesthetics",2016," Chichester, West Sussex: John Wiley &
Sons, Ltd,",,,," Philosophy
Aesthetics African Diaspora",ISBN-10: 1405150637,ISBN-13: 9781405150637,,,,,,image/jpeg,,,
484,479,book,D1," Procter, Alice",The Whole Picture: The colonial story of the art in our museums & why we need to talk about it,2021,London: Cassel,,,," Art History Museums Politics
Colonialism",ISBN-10: 1788402456,ISBN-13: 9781788402453,,,https://www.theexhibitionist.org/,,,image/jpeg,,,
485,480,book,D3," English, Darby English and Charlotte Barat",Among Others: Blackness at MoMA,2019,New York: Museum of Modern Art,,,,Art History Museums African Diaspora,ISBN-10: 1633450341,ISBN-13: 9781633450349,,,,,,image/jpeg,,,
486,481,book,D1," Brown, Jessica Bell and Ryan N. Dennis, eds.",A Movement in Every Direction: A Great Migration Critical Reader,2022," Baltimore: Baltimore Museum of Art; Jackson: Mississippi Museum of Art;
New Haven: Yale University Press",,,," Anthology Exhibition catalogue
African American History Great Migration",ISBN-10: 0300264461,ISBN-13: 9780300264463,,," https://www.msmuseumart.org/the- great-migration/
https://artbma.org/exhibition/a- movement-in-every-direction-legacies- of-the-great-migration/ https://www.brooklynmuseum. org/exhibitions/a_movement_in_every_ direction",,,image/jpeg,,,
487,482,book,D2," Piepzna-Samarasinha, Leah Lakshmi",Care Work: Dreaming Disability Justice,2022,Vancouver: Aresenal Pulp Press,,,," Social Justice Politics Disability
Essays",ISBN-10: 1551527383,ISBN-13: 9781551527383,,English,"https://www.youtube.com/watch? v=8UpQVlT2wCQ https://brownstargirl.org/care-work-
dreaming-disability-justice/",," Video
Author website",image/jpeg,,,
488,483,book,D2," Nance, Marilyn; edited by Oluremi
C. Onabanjo",Last Day in Lagos,2022," New York: Center for Art, Research and Alliances (CARA); Johannesburg: Fourthwall Books",,,,Photography Artist book Women artists African Diaspora,ISBN-10: 0994700997,ISBN-13: 9780994700995,,English,https://www.youtube.com/watch? v=IMVbjmMaFF4,,Video,image/jpeg,,,
489,484,book,E2," Brathwaite, Kwame; edited by Tanisha C. Ford",Kwame Brathwaite: Black Is Beautiful,2019,New York: Aperture Foundation,,,," Photography Artist monograph
Exhibition catalogue",ISBN-10: 159711443X,ISBN-13: 9781597114431,,English,https://aperture.org/exhibitions/kwame- brathwaiteblack-beautiful/,,Exhibition website,image/jpeg,,,
490,485,book,," Klanten, Robert, Sven Ehman, Vanessa Obrecht, and Design Indaba, eds."," Africa Rising: Fashion, Design and Lifestyle from Africa",2016,Berlin: Gestalten,,,," Design Fashion African Art
African Diaspora",ISBN-10: 3899556410,ISBN-13: 9783899556414,,English,https://www.designindaba.com/,,Organization website,image/jpeg,,,
491,486,book,Kilolo's office," Dufour, Annie, Jean-Benoit Ormal- Grenon, and Nadège Plan, eds.",Le Modèle Noir: De Géricault à Matisse [The Black Model: From Géricault to Matisse],2019,Paris: Musée d'Orsay: Flammarion,,,," Art History Exhibition catalogue
Black models",ISBN-10: 2354332815,ISBN-13: 9782354332815,,French,"https://www.musee-orsay. fr/fr/expositions/le-modele-noir-de-
gericault-matisse-196083 https://wallach.columbia. edu/exhibitions/posing-modernity-black- model-manet-and-matisse-today-le- mod%C3%A8le-noir-de-g%C3%A9ricault-
%C3%A0","See #167 Denise Murrell, Posing Modernity: The Black Model from
Manet and Matisse to Today (2018)",Exhibition website,image/jpeg,,,
492,487,book,D2," Ladner, Joyce A.",Tomorrow's Tomorrow: The Black Woman,1995,Lincoln: University of Nebraska Press,,,,"Sociology Black women Black girls
Originally published in 1971 by
Doubleday",ISBN-10: 0803279566,ISBN-13: 9780803279568,,English,,,,image/jpeg,,,
493,488,book,D2," Williams, Robert F.",Negroes with Guns,1998,Detroit: Wayne State University Press,,,,"Black Studies
African American history Civil Rights
Politics
Originally published in 1962 by Marzani & Munsell, Inc.",ISBN-10: 0814327141,ISBN-13: 9780814327142,,English,,,,image/jpeg,,,
494,489,book,D2," Silva, Bisi and Stephanie Baptist, eds.",Àsìkò: On the Future of Artistic and Curatorial Pedagogies in Africa,2017," Lagos: Centre for Contemporary Art, Lagos",,,,Art History African Art Visual Culture,ISBN-10: 069228818X,ISBN-13: 9780692288184,,English,https://ccalagos.org/,,Organization website,image/jpeg,,,
495,490,book,D2," Goldman, Wendy Z. and Joe William Trotter, Jr., eds.",The Ghetto in Global History: 1500 to the Present,2018,New York: Routledge,,,,History African American history Jewish history,ISBN-10: 1138282308,ISBN-13: 9781138282308,,English,https://www.ushmm. org/collections/bibliography/ghettos,"See #490 Charles I. Nero's essay ""Why Are Gay Ghettos White?"" in
E. Patrick Johnson and Mae G. Henderson, eds., Black Queer Studies (2005)",Museum website,image/jpeg,,,
496,491,book,D2," Johnson, E. Patrick and Mae G.
Henderson, eds.",Black Queer Studies: A Critical Anthology,2005,Durham: Duke University Press,,,," Queer Studies
Black Studies",ISBN-10: 0822336189,ISBN-13: 9780822336181,,English,,,,image/jpeg,,,
497,492,book,D2," Korstad, Robert Rodgers"," Civil Rights Unionism: Tobacco Workers and the Struggle for Democracy in the Mid-
Twentieth-Century South",2003,Chapel Hill: University of North Carolina Press,,,," African American History Civil Rights
Labor History",ISBN-10: 0807854549,ISBN-13: 9780807854549,,English,,,,image/jpeg,,,
498,493,book,D2," Wheadon, Nico"," Museum Metamorphosis: Cultivating Change
through Cultural Citizenship",2022,Lanham: Rowman & Littlefield,,,," Museums
Art/Culture Administration",ISBN-10: 1538130432,ISBN-13: 9781538130438,,English,https://www.nicowheadon.com/,,Author website,image/jpeg,,,
499,494,book,D2," Cade, Toni, ed.",The Black Woman: An Anthology,1970," New York: New American Library, Inc.",,,," Black Feminism Black Studies Gender Studies Essays
Gift to Kilolo Luckett from her
mother Velma Jean Luckett",ISBN-10: 0451625870,ISBN-13: 9780451625878,,English,https://nmaahc.si. edu/object/nmaahc_2018.38.3 https://nmaahc.si. edu/explore/stories/recreating-narrative,"See #448 Mabel O. Wilson, Begin with the Past: Building the National Museum of African American History and Culture (2006)",Museum website,image/jpeg,,,
500,495,book,D2," Powell, Richard J.",Black Art: A Cultural History,2021,3rd ed. London: Thames & Hudson,,,," African American Art
Art History",ISBN-10: 0500204667,ISBN-13: 9780500204665,,English,,"See #63 Richard J. Powell, Black
Art: A Cultural History, 2nd ed. (2002)",,image/jpeg,,,
501,496,book,D2," Bennett, Lerone, Jr.",The Challenge of Blackness,1972," Chicago: Johnson Publishing Company, Inc.",,,," Essays
African American History Black Studies",ISBN-10: 0874850541,ISBN-13: 9780874850543,,English,,,,image/jpeg,,,
502,497,book,D2," Bennett, Lerone, Jr.",The Negro Mood and Other Essays,1964," Chicago: Johnson Publishing Company, Inc.",,,," Essays
African American History Black Studies",,,OCLC: 422663,English,,,,image/jpeg,,,
503,498,book,D2,Chinweizu [Chinweizu Ibekwe],The West and the Rest of US: White Predators Black Slavers and the African Elite,1987,2nd ed. Lagos: Pero Press,,,,"African History Politics Economics
Originally published in 1975 by
Random House",ISBN-10: 978265101X,ISBN-13: 9789782651013,,English,,,,image/jpeg,,,
504,499,book,D2," Plummer, Sharbreon"," Diasporic Threads: Black Women, Fibre & Textiles",2022,Norwich: Common Threads Press,,,," Textiles Fiber Art
Women Artists",ISBN-10: 139991944X,ISBN-13: 9781399919449,,English,"https://sharbreonplummer.com/ https://sharbreonplummer. com/threads/2021/10/21/full- bibliography https://docs.google.
com/document/d/1t_n8AP4li8miK0sQnT ky0of6WX2lAwuuBML9EPRBeJ8/mobileb asic
https://common-threads-press. myshopify.com/pages/about-us",," Author website;
QR code in Diasporic Threads for full bibliography;
QR code in Diasporic Threads for Black Women in Textiles Directory; Publisher website",image/jpeg,,,
505,500,book,D2," Noble, Safiya Umoja",Algorithms of Oppression: How Search Engines Reinforce Racism,2018,New York: New York University Press,,,," Sociology Black Studies
Gender Studies
Technology",ISBN-10: 1479837245,ISBN-13: 9781479837243,,English,https://safiyaunoble.com/,,Author website,image/jpeg,,,
506,501,book,D2," Brock, André, Jr.",Distributed Blackness: African American Cybercultures,2020,New York: New York University Press,,,,Media Studies Black Studies Technology Internet,ISBN-10: 147982996X,ISBN-13: 9781479829965,,English,,"See #499 Safiya U. Noble, Algorithms of Oppression (2018)",,image/jpeg,,,
507,502,book,D2," Finney, Carolyn"," Black Faces, White Spaces: Reimagining the Relationships of African Americans Outdoors",2014,Chapel Hill: University of North Carolina Press,,,,Black Studies Environmental Studies,ISBN-10: 1469614480,ISBN-13: 9781469614489,,English,https://www.carolynfinney.com/ https://www.youtube.com/watch? v=gzOzzpNap14,,Author website Video Lecture,image/jpeg,,,
508,503,book,D2," Greenwood, Emily",Afro-Greeks: Dialogues between Anglophone Caribbean Literature and Classics in the Twentieth Century,2010,Oxford: Oxford University Press,,,,Caribbean Literature Postcolonialism Roman/Greek Antiquity,ISBN-10: 019957524X,ISBN-13: 9780199575244,,English,,,,image/jpeg,,,
509,504,book,D2," Akintoye, S. Adebanji",A History of the Yoruba People,2010,Dakar: Amalion Publishing,,,," African History
Yoruba",ISBN-10: 2359260057,ISBN-13: 9782359260052,,English,,"See #195 Alfred Burton Ellis, A
History of the Yoruba People (2017)",,image/jpeg,,,
510,505,book,D2," Battle-Baptiste, Whitney and Britt Rusert, eds",W. E. B. Du Bois's Data Portraits: Visualizing Black America,2018,New York: Princeton Architectural Press,,,," Sociology Design
African American History Black Studies",ISBN-10: 1616897066,ISBN-13: 9781616897062,,English,https://www.youtube.com/watch? v=wQb4ugSOh8M,,Video Panel discussion,image/jpeg,,,
511,506,book,D2," Baszile, Natalie"," We Are Each Other's Harvest: Celebrating African American Farmers, Land, and Legacy",2021,New York: Amistad,,,,African American History Environmental Studies Agriculture,ISBN-10: 006293256X,ISBN-13: 9780062932563,,English,"https://nataliebaszile.com/ https://www.youtube.com/watch? v=XnH7pDUIE9k https://www.youtube.com/watch?
v=Txi24KKMIkc","See #501 Carolyn Finney, Black Faces, White Spaces (2014)",Author website Video,image/jpeg,,,
512,507,book,Kilolo's office," Bindman, David, Henry Louis Gates, Jr., and Karen C. C. Dalton, eds.","The Image of the Black in Western Art, Volume III: From the ""Age of Discovery"" to the
Age of Abolition, Part 1: Artists of the Renaissance and Baroque",2010,Cambridge: Belknap Press; Harvard University Press,,,,Art History Reference,ISBN-10: 0674052617,ISBN-13: 9780674052611,,English," https://www.hup.harvard. edu/features/the-image-of-the-black-in-
western-art/",,Publisher website,image/jpeg,,,
513,508,book,Kilolo's office," Bindman, David, Henry Louis Gates, Jr., and Karen C. C. Dalton, eds.","The Image of the Black in Western Art, Volume III: From the ""Age of Discovery"" to the
Age of Abolition, Part 2: Europe and the World Beyond",2011,Cambridge: Belknap Press; Harvard University Press,,,,Art History Reference,ISBN-10: 0674052625,ISBN-13: 9780674052628,,English,https://www.hup.harvard. edu/features/the-image-of-the-black-in- western-art/,,Publisher website,image/jpeg,,,
