objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
118,115,book,A2," Smith, Zadie",Intimations,2020,New York: Penguin Books,,,,Essays,ISBN-10: 059329761X,ISBN-13: 9780593297612,,,,,,image/jpeg,,,
119,116,book,A2," Alexander, George and Michael
Cunningham"," Queens: Portraits of Black Women and Their
Fabulous Hair",2005,New York: Doubleday,,,,Photography,ISBN-10: 038551462X,ISBN-13: 9780385514620,,,,,,image/jpeg,,,
120,117,book,A2," Brown, Stephen and Norman L. Kleeblatt","From the Margins: Lee Krasner/Norman Lewis, 1945-1952",2014,New York: Jewish Museum,,,,Artist monograph Exhibition catalogue Painting,ISBN-10: 0300206496,ISBN-13: 9780300206494,,,,,,image/jpeg,,,
121,118,book,A2," Sills, Leslie",Visions: Stories about Women Artists,1993,Morton Grove: Alan Whitman & Co.,,,,Women artists,ISBN-10: 0807584916,ISBN-13: 9780807584910,,,,,,image/jpeg,,,
122,119,book,A2," Césaire, Aimé",Discourse on Colonialism,2001,New York: Monthly Review Press,,,," History Politics
Postcolonial Theory",ISBN-10: 1583670254,ISBN-13: 9781583670255,,,,,,image/jpeg,,,
123,120,book,A2," Francis, Jacqueline and Erica Moiah
James"," Point of View: African American Art from the
Elliot and Kimberly Perry Collection",2014," Detroit: Charles H. Wright Museum of
African American History; Flint: Flint Institute of Arts",,,," African American art
Collectors",ISBN-10: 0615905501,ISBN-13: 9780615905501,,,,,,image/jpeg,,,
124,121,book,A2," Filipovic, Elena",David Hammons: Bliz-aard Ball Sale,2017," London: Afterall Books; Cambridge:
MIT Press",,,,Artist monograph,ISBN-10: 184638186X,ISBN-13: 9781846381867,,,,,,image/jpeg,,,
125,122,book,A2," Kher, Bharti and Stephanie Rosenthal",Bharti Kher: The Breathing House,2016,London: Hauser & Wirth Publishers; Freud Museum,,,,Artist monograph Exhibition catalogue,ISBN-10: 3952446157,ISBN-13: 9783952446157,,," https://www.freud.org. uk/exhibitions/bharti-kher-this-
breathing-house/",,,image/jpeg,,,
126,123,book,A2," Cloth, Frederic and Kristina Van
Dyke",Kota: Digital Excavations in African Art,2015,St. Louis: Pulitzer Arts Foundation,,,," Exhibition catalogue
African art",ISBN-10: 0982334788,ISBN-13: 9780982334782,,," https://pulitzerarts.org/art/kota-digital-
excavations-in-african-art/",,,image/jpeg,,,
127,124,book,A2," Moore, Kevin"," Old Paris and Changing New York: Photographs by Eugène Atget and Berenice
Abbott",2018," Cincinnati: FotoFocus and the Taft Museum of Art; New Haven: Yale
University Press",,,,Artist monograph Photography,ISBN-10: 0300235798,ISBN-13: 9780300235791,,,,,,image/jpeg,,,
